date_id,Date,Year,Quarter,Month,Week,Day,Period
1,2024-01-03,2024,1,1,1,3,AM
2,2024-07-14,2024,3,7,28,14,PM
3,2024-11-24,2024,4,11,47,24,PM
4,2024-11-28,2024,4,11,48,28,AM
5,2024-06-17,2024,2,6,25,17,PM
6,2024-12-26,2024,4,12,52,26,AM
7,2024-07-23,2024,3,7,30,23,AM
8,2024-09-21,2024,3,9,38,21,AM
9,2024-11-28,2024,4,11,48,28,PM
10,2024-05-15,2024,2,5,20,15,AM
11,2024-05-25,2024,2,5,21,25,AM
12,2024-11-25,2024,4,11,48,25,AM
13,2024-05-27,2024,2,5,22,27,PM
14,2024-03-19,2024,1,3,12,19,AM
15,2024-10-04,2024,4,10,40,4,AM
16,2024-11-17,2024,4,11,46,17,AM
17,2024-08-19,2024,3,8,34,19,AM
18,2024-10-12,2024,4,10,41,12,PM
19,2024-03-16,2024,1,3,11,16,PM
20,2024-07-18,2024,3,7,29,18,AM
21,2024-02-27,2024,1,2,9,27,AM
22,2024-04-27,2024,2,4,17,27,PM
23,2024-04-10,2024,2,4,15,10,PM
24,2024-02-15,2024,1,2,7,15,AM
25,2024-07-14,2024,3,7,28,14,AM
26,2024-10-05,2024,4,10,40,5,PM
27,2024-01-09,2024,1,1,2,9,AM
28,2024-04-17,2024,2,4,16,17,PM
29,2024-04-24,2024,2,4,17,24,AM
30,2024-09-08,2024,3,9,36,8,AM
31,2024-12-05,2024,4,12,49,5,PM
32,2024-07-09,2024,3,7,28,9,PM
33,2024-09-02,2024,3,9,36,2,PM
34,2024-06-10,2024,2,6,24,10,PM
35,2024-06-05,2024,2,6,23,5,PM
36,2024-04-06,2024,2,4,14,6,AM
37,2024-09-25,2024,3,9,39,25,PM
38,2024-08-13,2024,3,8,33,13,PM
39,2024-02-14,2024,1,2,7,14,PM
40,2024-01-14,2024,1,1,2,14,PM
41,2024-10-07,2024,4,10,41,7,AM
42,2024-10-14,2024,4,10,42,14,AM
43,2024-12-18,2024,4,12,51,18,AM
44,2024-01-03,2024,1,1,1,3,AM
45,2024-12-19,2024,4,12,51,19,PM
46,2024-05-13,2024,2,5,20,13,PM
47,2024-05-08,2024,2,5,19,8,PM
48,2024-08-20,2024,3,8,34,20,PM
49,2024-02-19,2024,1,2,8,19,AM
50,2024-02-10,2024,1,2,6,10,PM
51,2024-10-10,2024,4,10,41,10,AM
52,2024-01-02,2024,1,1,1,2,PM
53,2024-08-13,2024,3,8,33,13,AM
54,2024-01-30,2024,1,1,5,30,PM
55,2024-01-21,2024,1,1,3,21,AM
56,2024-04-22,2024,2,4,17,22,AM
57,2024-08-11,2024,3,8,32,11,PM
58,2024-11-18,2024,4,11,47,18,AM
59,2024-09-24,2024,3,9,39,24,PM
60,2024-10-31,2024,4,10,44,31,AM
61,2024-09-13,2024,3,9,37,13,AM
62,2024-01-16,2024,1,1,3,16,AM
63,2024-01-17,2024,1,1,3,17,PM
64,2024-04-11,2024,2,4,15,11,AM
65,2024-01-31,2024,1,1,5,31,AM
66,2024-01-21,2024,1,1,3,21,AM
67,2024-07-18,2024,3,7,29,18,AM
68,2024-10-12,2024,4,10,41,12,AM
69,2024-09-14,2024,3,9,37,14,PM
70,2024-01-22,2024,1,1,4,22,AM
71,2024-02-23,2024,1,2,8,23,PM
72,2024-04-30,2024,2,4,18,30,AM
73,2024-01-16,2024,1,1,3,16,AM
74,2024-08-09,2024,3,8,32,9,PM
75,2024-06-04,2024,2,6,23,4,PM
76,2024-07-26,2024,3,7,30,26,PM
77,2024-02-06,2024,1,2,6,6,AM
78,2024-04-27,2024,2,4,17,27,AM
79,2024-08-14,2024,3,8,33,14,PM
80,2024-09-10,2024,3,9,37,10,AM
81,2024-12-02,2024,4,12,49,2,PM
82,2024-05-13,2024,2,5,20,13,AM
83,2024-10-17,2024,4,10,42,17,AM
84,2024-02-22,2024,1,2,8,22,PM
85,2024-06-10,2024,2,6,24,10,AM
86,2024-01-04,2024,1,1,1,4,PM
